working_key,catalog_key,label,documentation_status,tref,tstart,tstop,catalog_path,catalog_exists,apparent_bytes,apparent_gib,all_file_count,active_file_count,administrative_file_count,immediate_folders,top_level_files,has_precipitation,has_waterlevel,has_discharge,has_wind,has_pressure,has_boundary_table,has_waterlevel_points,has_validation_points,has_validation_lines,has_misc_folder
allison_1989,allison_1989,"Tropical Storm Allison, 1989",Next-step event catalog,1989-06-17 18:00:00,1989-06-17 18:00:00,1989-07-12 03:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/allison_1989,True,60766497,0.057,17,15,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,True,False,False,False,True,False
flood_1989_07,flood_1989_07,Late July / early August 1989 flood,Next-step event catalog,1989-07-30 00:00:00,1989-07-30 00:00:00,1989-08-04 18:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_1989_07,True,1824896,0.002,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
flood_1992_03,flood_1992_03,"March 4, 1992 Houston/Harris County flood",Next-step event catalog,1992-03-02 13:00:00,1992-03-02 13:00:00,1992-03-08 21:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_1992_03,True,1947170,0.002,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
flood_1994_10,flood_1994_10,Southeast Texas Floods of October 1994,Next-step event catalog,1994-10-13 08:00:00,1994-10-13 08:00:00,1994-10-25 03:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_1994_10,True,6509814,0.006,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
frances_1998,frances_1998,Tropical Storm Frances,Next-step event catalog,1998-09-01 20:00:00,1998-09-01 20:00:00,1998-09-22 15:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/frances_1998,True,54855759,0.051,17,15,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,True,False,False,False,True,False
flood_1998_10,flood_1998_10,October 1998 flood / post-Frances fall storm,Next-step event catalog,1998-10-15 11:00:00,1998-10-15 11:00:00,1998-10-23 04:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_1998_10,True,4514005,0.004,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
allison_2001,allison_2001,Tropical Storm Allison,Next-step event catalog,2001-05-23 04:00:00,2001-05-23 04:00:00,2001-06-14 05:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/allison_2001,True,56065357,0.052,17,15,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,True,False,False,False,True,False
flood_2002_10,flood_2002_10,"October 28-29, 2002 Houston/Harris flooding",Next-step event catalog,2002-10-17 11:00:00,2002-10-17 11:00:00,2002-10-31 17:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_2002_10,True,7902543,0.007,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
flood_2003_11,flood_2003_11,"November 17, 2003 flood / severe-weather event",Next-step event catalog,2003-11-14 17:00:00,2003-11-14 17:00:00,2003-11-20 17:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_2003_11,True,2875466,0.003,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
heavy_rain_2006_06,heavy_rain_2006_06,June 2006 heavy rainfall,Next-step event catalog,2006-06-14 12:00:00,2006-06-14 12:00:00,2006-06-25 05:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/heavy_rain_2006_06,True,4482090,0.004,13,11,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,False,False,False,False,True,False
erin_2007,erin_2007,Tropical Storm Erin / August 2007 flood,Next-step event catalog,2007-08-10 23:00:00,2007-08-10 23:00:00,2007-09-20 23:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/erin_2007,True,88784415,0.083,17,15,2,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,False,False,True,True,False,False,False,True,False
ike_2008,ike_2008,Hurricane Ike,Complete current data catalog,2008-09-09 21:00:00,2008-09-09 21:00:00,2008-09-18 05:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/ike_2008,True,172611280,0.161,53,20,33,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,True,True,True,True,True,False
flood_2009_04,flood_2009_04,April 2009 flood,Complete current data catalog,2009-04-16 17:00:00,2009-04-16 17:00:00,2009-04-21 09:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_2009_04,True,157774804,0.147,204,16,188,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,False,True,True,True,True,False
flood_2012_01,flood_2012_01,January 2012 flood,Complete current data catalog,2012-01-07 20:00:00,2012-01-07 20:00:00,2012-01-12 11:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_2012_01,True,88976316,0.083,59,16,43,_misc; event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,False,True,True,True,True,True
heavy_rain_2012_07,heavy_rain_2012_07,July 2012 Cypress / northern Harris heavy rainfall,Complete current data catalog,2012-07-06 17:00:00,2012-07-06 17:00:00,2012-07-22 05:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/heavy_rain_2012_07,True,302932560,0.282,60,16,44,_misc; event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,False,True,True,True,True,True
heavy_rain_2014_08,heavy_rain_2014_08,August 2014 heavy rainfall,Complete current data catalog,2014-07-28 19:00:00,2014-07-28 19:00:00,2014-09-24 07:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/heavy_rain_2014_08,True,1865270667,1.737,265,16,249,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,False,True,True,True,True,False
memorial_2015,memorial_2015,2015 Memorial Day Flood,Complete current data catalog,2015-05-20 18:00:00,2015-05-20 18:00:00,2015-06-02 18:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/memorial_2015,True,254909473,0.237,63,16,47,_misc; event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,False,True,True,True,True,True
halloween_2015,halloween_2015,2015 Halloween Flood,Complete current data catalog,2015-10-29 14:00:00,2015-10-29 14:00:00,2015-11-04 10:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/halloween_2015,True,116706112,0.109,63,16,47,_misc; event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,False,True,True,True,True,True
tax_day_2016,tax_day_2016,2016 Tax Day Flood,Complete current data catalog,2016-04-15 23:00:00,2016-04-15 23:00:00,2016-04-24 02:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/tax_day_2016,True,329443483,0.307,206,16,190,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,False,True,True,True,True,False
memorial_2016,memorial_2016,2016 Memorial Day Flood,Complete current data catalog,2016-05-30 22:00:00,2016-05-30 22:00:00,2016-06-10 03:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/memorial_2016,True,415494256,0.387,207,16,191,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,False,True,True,True,True,False
harvey_2017,harvey_2017_mrms,Hurricane Harvey,Complete current data catalog,2017-08-22 00:00:00,2017-08-22 00:00:00,2017-09-17 01:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/harvey_2017_mrms,True,1164949111,1.085,304,22,282,_manifests; _misc; _misc_cleanup_logs; _notes; event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,,True,True,True,True,False,True,True,True,True,True
flood_2019_05,flood_2019_05,"May 7, 2019 Kingwood / Sugar Land flooding",Complete current data catalog,2019-05-05 21:00:00,2019-05-05 21:00:00,2019-05-13 05:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/flood_2019_05,True,310234165,0.289,209,16,193,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,False,True,True,True,True,False
imelda_2019,imelda_2019,Tropical Storm Imelda,Complete current data catalog,2019-09-07 09:00:00,2019-09-07 09:00:00,2019-09-27 13:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/imelda_2019,True,838145818,0.781,216,20,196,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,True,True,True,True,True,False
heavy_rain_2024_04_05,heavy_rain_2024_04_05,April-May 2024 heavy rainfall / northeast Harris flooding,Complete current data catalog,2024-04-28 15:00:00,2024-04-28 15:00:00,2024-05-08 07:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/heavy_rain_2024_04_05,True,456728363,0.425,219,16,203,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,False,True,True,True,True,False
beryl_2024,beryl_2024,Hurricane Beryl,Complete current data catalog,2024-06-21 14:00:00,2024-06-21 14:00:00,2024-08-03 00:00:00,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/beryl_2024,True,1991321324,1.855,245,20,225,event_boundary_table; event_discharge; event_discharge_points; event_forcing_qc; event_metadata; event_precip; event_pressure; event_runtime_window; event_source_table; event_validation_gauges; event_validation_lines; event_validation_points; event_waterlevel; event_waterlevel_points; event_wind,_CATALOG_SKELETON_README.txt,True,True,False,True,True,True,True,True,True,False
